ID,Category,Level,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Tags
Q0719,📖 اردو محاورے,E,آ بیل مجھے مار,جان بوجھ کر مصیبت مول لینا,بیل کو مارنا,کھیل کھیلنا,بہادری دکھانا,A,اپنے اوپر خود مصیبت لے آنا۔,"اردو محاورے, آسان"
Q0720,😈 ٹرک سوالات,E,وہ کون سا تالا ہے جو کبھی کھلتا نہیں مگر سب کو بند کر دیتا ہے,قبر,دل,منہ,دروازہ,C,انسان کا منہ بند ہو جائے تو بہت سی باتیں وہیں رک جاتی ہیں۔,"ٹرک سوالات, آسان"
Q0721,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج جمعرات ہے تو 7 دن بعد کون سا دن ہوگا؟,جمعہ,بدھ,ہفتہ,جمعرات,D,جمعرات سے 7 دن آگے شمار کرنے پر دن جمعرات بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0722,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو خالی ہاتھ دیا جاتا ہے مگر دل بھر دیتا ہے؟,دعا,تحفہ,کھانا,پیسہ,A,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: دعا۔,"دلچسپ پہیلیاں, آسان"
Q0723,👑 صرف ذہین لوگوں کے لیے,E,عالمی یوم اردو کب منایا جاتا ہے؟,23 مارچ,21 فروری,کوئی مخصوص عالمی دن مقرر نہیں، پاکستان میں یوم اردو منایا جاتا ہے,14 اگست,C,درست جواب ہے: کوئی مخصوص عالمی دن مقرر نہیں، پاکستان میں یوم اردو منایا جاتا ہے۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0724,⏳ 5 سیکنڈ چیلنج,E,دنیا کی سب سے بلند چوٹی کون سی ہے؟,کنچن جنگا,ماؤنٹ ایورسٹ,نانگا پربت,کے ٹو (K2),B,درست جواب ہے: ماؤنٹ ایورسٹ۔,"5 سیکنڈ چیلنج, آسان"
Q0725,⏳ 5 سیکنڈ چیلنج,E,پاکستان میں پہلی ریل گاڑی کب چلی,1855,1947,1861,1900,A,کراچی سے کوٹری کے درمیان پہلی ریل سروس 1855 میں شروع ہوئی۔,"5 سیکنڈ چیلنج, آسان"
Q0726,📖 اردو محاورے,E,بندر کیا جانے ادرک کا سواد,ادرک کھانا,بندر پالنا,بندر کو ادرک کھلاؤ,نا اہل کو قدر کی کیا خبر,D,کم ظرف یا نا اہل کو اچھی چیز کی قدر معلوم نہیں ہوتی۔,"اردو محاورے, آسان"
Q0727,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو جتنا بھرتا ہے اتنا ہی ہلکا ہوتا جاتا ہے؟,صندوق,بالٹی,غبارہ,پتھر,C,درست جواب ہے: A)غبارہ ✓۔,"دلچسپ پہیلیاں, آسان"
Q0728,⏳ 5 سیکنڈ چیلنج,E,دنیا کا سب سے بڑا براعظم کون سا ہے؟,یورپ,ایشیا,آسٹریلیا,افریقہ,B,درست جواب ہے: ایشیا۔,"5 سیکنڈ چیلنج, آسان"
Q0729,🎭 الفاظ کا جادو,E,"""نیا"" کا مترادف کیا ہے؟",رفیق,جدید,تحمل,آس,B,"""نیا"" کا مترادف ""جدید"" ہے۔","الفاظ کا جادو, آسان"
Q0730,📖 اردو محاورے,E,منہ لٹکانا کا مطلب کیا ہے؟,غصہ کرنا,اداس ہونا,تعریف کرنا,ہنسنا,B,منہ لٹکانا اداس ہونے کو کہتے ہیں۔,"اردو محاورے, آسان"
Q0731,🤯 دماغ کا امتحان,E,12 × 8 - 15 کا جواب کیا ہے؟,80,96,90,81,D,درست جواب ہے: 81۔,"دماغ کا امتحان, آسان"
Q0732,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جو آگ میں جل کر بھی زندہ رہتی ہے؟,کپڑا,لکڑی,فینکس کی کہانی/راکھ سے اٹھنے والی سوچ,کاغذ,C,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: فینکس کی کہانی/راکھ سے اٹھنے والی سوچ۔,"دلچسپ پہیلیاں, آسان"
Q0733,🎭 الفاظ کا جادو,E,"""تیز"" کا متضاد کیا ہے؟",میزبان,دھیما,سردی,بڑا,B,"""تیز"" کا متضاد ""دھیما"" ہے۔","الفاظ کا جادو, آسان"
Q0734,⏳ 5 سیکنڈ چیلنج,E,زمین کا سب سے گہرا مقام کون سا ہے؟,گریٹ بیریئر,گانگا,ماریانا ٹرینچ,نیل,C,درست جواب ہے: ماریانا ٹرینچ۔,"5 سیکنڈ چیلنج, آسان"
Q0735,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج جمعرات ہے تو 17 دن بعد کون سا دن ہوگا؟,منگل,ہفتہ,پیر,اتوار,D,جمعرات سے 17 دن آگے شمار کرنے پر دن اتوار بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0736,😈 ٹرک سوالات,E,ایک ماں کے تین بیٹے ہیں اور سب کی ایک ہی بہن ہے۔ کل بچے کتنے ہیں؟,6,4,5,3,B,تین بیٹے اور ایک بہن ملا کر کل 4 بچے ہیں۔,"ٹرک سوالات, آسان"
Q0737,😈 ٹرک سوالات,E,ایک ٹوکری میں 14 پھل تھے، بچوں نے 12 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 21),12,3,2,1,C,14-12=2 پھل بچے۔,"ٹرک سوالات, آسان"
Q0738,😈 ٹرک سوالات,E,24 کو 6 پر تقسیم کریں تو جواب کیا ہوگا,2,6,4,3,C,24÷6=4۔,"ٹرک سوالات, آسان"
Q0739,📖 اردو محاورے,E,آنکھ کا تارا ہونا,نظر کمزور ہونا,بہت عزیز ہونا,غصہ کرنا,نفرت کرنا,B,انتہائی محبوب اور عزیز ہونا۔,"اردو محاورے, آسان"
Q0740,⏳ 5 سیکنڈ چیلنج,E,پاکستان کا دارالحکومت کون سا ہے؟,اسلام آباد,پشاور,لاہور,کراچی,A,درست جواب ہے: اسلام آباد۔,"5 سیکنڈ چیلنج, آسان"
Q0741,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج ہفتہ ہے تو 14 دن بعد کون سا دن ہوگا؟,اتوار,جمعہ,ہفتہ,پیر,C,ہفتہ سے 14 دن آگے شمار کرنے پر دن ہفتہ بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0742,📖 اردو محاورے,E,ہاتھ ملنا,مدد کرنا,پچھتانا,سلام کرنا,دوستی کرنا,B,ہاتھ ملنا محاورے میں پچھتانے کے معنی میں بھی آتا ہے۔,"اردو محاورے, آسان"
Q0743,⏳ 5 سیکنڈ چیلنج,E,برصغیر میں برطانوی راج کب شروع ہوا؟,1947,1757,1600,1857,B,درست جواب ہے: 1757۔,"5 سیکنڈ چیلنج, آسان"
Q0744,🎭 الفاظ کا جادو,E,"""خط"" کا مترادف کیا ہے؟",چمن,مکتوب,نسیم,کوہ,B,"""خط"" کا مترادف ""مکتوب"" ہے۔","الفاظ کا جادو, آسان"
Q0745,👑 صرف ذہین لوگوں کے لیے,E,مرزا غالب کس دور کے شاعر تھے؟,سلطنت عثمانیہ,موجودہ دور,برطانوی دور سے پہلے,مغل دور کے آخری دور,D,درست جواب ہے: مغل دور کے آخری دور۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0746,📖 اردو محاورے,E,"کان دھرنا"""" کا مطلب کیا ہے؟",شور کرنا,کان پکڑنا,خاموش ہونا,غور سے سننا,D,کان دھرنا یعنی پوری توجہ سے سننا۔,"اردو محاورے, آسان"
Q0747,⏳ 5 سیکنڈ چیلنج,E,پاکستان کا قومی پھل کون سا ہے؟,آم,سیب,انگور,کینو,A,درست جواب ہے: آم۔,"5 سیکنڈ چیلنج, آسان"
Q0748,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,انسانی جسم میں سانس لینے کا اہم عضو کون سا ہے؟,دل,جگر,گردے,پھیپھڑے,D,درست جواب ہے: پھیپھڑے ✓۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0749,😈 ٹرک سوالات,E,اگر ایک موم بتی بجھا دی جائے تو سب سے پہلے کیا ختم ہوتا ہے؟,موم,بتی,روشنی,دھواں,C,موم بتی بجھتے ہی روشنی فوراً ختم ہو جاتی ہے۔,"ٹرک سوالات, آسان"
Q0750,📖 اردو محاورے,E,چھاتی پر پتھر رکھنا,وزن اٹھانا,کام کرنا,دل مضبوط کرنا,پتھر رکھنا,C,صبر سے مشکل برداشت کرنا۔,"اردو محاورے, آسان"
Q0751,🤯 دماغ کا امتحان,E,اگر ایک قلم 15 روپے کا ہے تو 8 قلموں کی قیمت کتنی ہوگی؟,130,120,110,100,B,15 × 8 = 120 روپے۔,"دماغ کا امتحان, آسان"
Q0752,👑 صرف ذہین لوگوں کے لیے,E,بھاپ کا انجن کس نے ایجاد کیا؟,نیوٹن,ایڈیسن,جیمز واٹ,گراہم بیل,C,درست جواب ہے: جیمز واٹ۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0753,🎭 الفاظ کا جادو,E,"""جنگ"" کا متضاد کیا ہے؟",اندھیرا,صلح,مشکل,مایوس,B,"""جنگ"" کا متضاد ""صلح"" ہے۔","الفاظ کا جادو, آسان"
Q0754,🤯 دماغ کا امتحان,E,ایک خاندان میں 6 بھائی ہیں اور سب کی ایک ہی بہن ہے۔ کل کتنے بچے ہیں؟,6,12,8,7,D,6 بھائی + 1 بہن = 7 بچے۔,"دماغ کا امتحان, آسان"
Q0755,😈 ٹرک سوالات,E,ایک درجن میں کتنے عدد ہوتے ہیں؟,10,11,13,12,D,ایک درجن میں ہمیشہ 12 چیزیں ہوتی ہیں۔,"ٹرک سوالات, آسان"
Q0756,😈 ٹرک سوالات,E,8، 13، 18، 23 کے بعد اگلا عدد کیا ہوگا؟,29,28,33,27,B,ہر بار 5 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 23+5 = 28 ہوگا۔,"ٹرک سوالات, آسان"
Q0757,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک درجن انڈوں میں سے 3 انڈے نکال لیے جائیں تو کتنے انڈے باقی رہیں گے؟,12,10,6,9,D,درست جواب ہے: 9 ✓۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0758,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو ٹھنڈا ہو کر بھی جلاتا ہے؟,برف کا سخت لمس,آگ,لوہا,دھوپ,A,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: برف کا سخت لمس۔,"دلچسپ پہیلیاں, آسان"
Q0759,📖 اردو محاورے,E,"""ناک کٹنا"" محاورے کا مطلب؟",ڈر جانا,عزت ختم ہونا,شرمندہ ہونا,ناک زخمی ہونا,B,درست جواب ہے: عزت ختم ہونا۔,"اردو محاورے, آسان"
Q0760,⏳ 5 سیکنڈ چیلنج,E,بحر الکاہل,بحر ہند,بحر اوقیانوس,A,بحیرہ روم,C,درست جواب ہے: A۔,"5 سیکنڈ چیلنج, آسان"
Q0761,😈 ٹرک سوالات,E,وہ کون سا کھانا ہے جو پکا کر بھی کچا رہتا ہے,کوئی نہیں,دال,چاول,انڈہ,A,یہ ایک ٹرک سوال ہے، حقیقت میں پکا ہوا کھانا کچا نہیں رہتا۔,"ٹرک سوالات, آسان"
Q0762,🎭 الفاظ کا جادو,E,"""خمار"" کا مطلب کیا ہے؟",صحرا میں پانی کا دھوکا,نشہ یا کیفیت,ریگستان,صبح کا وقت / جادو,B,"""خمار"" کا مطلب ہے: نشہ یا کیفیت۔","الفاظ کا جادو, آسان"
Q0763,🤯 دماغ کا امتحان,E,ایک کسان کے پاس 10 مرغیاں اور 5 بکریاں ہیں۔ کل کتنی ٹانگیں ہوں گی,60,50,30,40,D,10 مرغیوں کی 20 ٹانگیں + 5 بکریوں کی 20 ٹانگیں = 40 ٹانگیں۔,"دماغ کا امتحان, آسان"
Q0764,📖 اردو محاورے,E,اونچی دکان پھیکا پکوان,چھوٹی دکان,نام بڑا مگر کام کم,مہنگی دکان,مزیدار کھانا,B,ظاہری شان و شوکت زیادہ مگر معیار کم ہونا۔,"اردو محاورے, آسان"
Q0765,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جو دھوپ میں نہیں سوکھتی,پانی,شہد,کپڑا,پسینہ,D,پسینہ مسلسل بنتا رہتا ہے، اسی لیے پہیلی کا جواب پسینہ ہے۔,"دلچسپ پہیلیاں, آسان"
Q0766,🤯 دماغ کا امتحان,E,اگر 30 کو 5 پر تقسیم کیا جائے تو جواب کیا ہوگا؟,8,7,5,6,D,30 ÷ 5 = 6۔,"دماغ کا امتحان, آسان"
Q0767,⏳ 5 سیکنڈ چیلنج,E,چین کی عظیم دیوار کس ملک میں واقع ہے؟,جاپان,کوریا,منگولیا,چین,D,چین کی عظیم دیوار چین میں واقع ہے۔,"5 سیکنڈ چیلنج, آسان"
Q0768,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,دو نمبروں کا حاصلِ ضرب 12 اور مجموعہ 7 ہے۔ وہ نمبر کون سے ہیں؟,2 اور 5,1 اور 6,3 اور 4,2 اور 6,C,3×4=12 اور 3+4=7۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0769,📖 اردو محاورے,E,الٹی گنگا بہانا,دریا پار کرنا,سفر کرنا,غلط یا الٹا کام کرنا,نہانا,C,روایت یا معمول کے خلاف کام کرنا۔,"اردو محاورے, آسان"
Q0770,😈 ٹرک سوالات,E,ایک ٹوکری میں 12 پھل تھے، بچوں نے 2 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 3),11,2,10,9,C,12-2=10 پھل بچے۔,"ٹرک سوالات, آسان"
Q0771,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج بدھ ہے تو 12 دن بعد کون سا دن ہوگا؟,منگل,پیر,بدھ,اتوار,B,بدھ سے 12 دن آگے شمار کرنے پر دن پیر بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0772,😈 ٹرک سوالات,E,3 دن میں 3 کنویں کھودنے والا 6 کنویں کتنے دن میں کھودے گا؟,3 دن,12 دن,9 دن,6 دن,D,درست جواب ہے: 6 دن۔,"ٹرک سوالات, آسان"
Q0773,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جسے سب چاہتے ہیں مگر کوئی روک نہیں سکتا؟,صحت,خوشی,پیسہ,وقت,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: وقت۔,"دلچسپ پہیلیاں, آسان"
Q0774,🤯 دماغ کا امتحان,E,17، 21، 25، 29 کے بعد اگلا عدد کیا ہوگا؟,34,33,37,32,B,ہر بار 4 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 29+4 = 33 ہوگا۔,"دماغ کا امتحان, آسان"
Q0775,🧩 دلچسپ پہیلیاں,E,وہ کون سی چیز ہے جسے جتنا کاٹو اتنی لمبی ہوتی جائے؟,کاغذ,لکڑی,رسی,کھائی/سرنگ,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: کھائی/سرنگ۔,"دلچسپ پہیلیاں, آسان"
Q0776,📖 اردو محاورے,E,کان کھڑے ہونا کا مطلب کیا ہے؟,کان صاف کرنا,شور مچانا,بہرا ہونا,چوکنا ہو جانا,D,کسی بات پر فوراً متوجہ یا محتاط ہو جانا۔,"اردو محاورے, آسان"
Q0777,📖 اردو محاورے,E,"""شب خون"" کا مطلب کیا ہے؟",رات کا کھانا,خون بہنا,رات بھر جاگنا,رات کو حملہ کرنا,D,رات کے اندھیرے میں اچانک حملہ۔,"اردو محاورے, آسان"
Q0778,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر 15 قلموں کی قیمت 300 روپے ہے تو ایک قلم کی قیمت کتنی ہوگی؟,30 روپے,20 روپے,25 روپے,15 روپے,B,300 ÷ 15 = 20 روپے۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0779,🤯 دماغ کا امتحان,E,زمین اپنے محور کے گرد ایک چکر کتنے وقت میں مکمل کرتی ہے؟,365 دن,12 گھنٹے,24 گھنٹے,30 دن,C,درست جواب ہے: 24 گھنٹے ✓۔,"دماغ کا امتحان, آسان"
Q0780,👑 صرف ذہین لوگوں کے لیے,E,پاکستان کب معرضِ وجود میں آیا؟,1940,1971,1947,1956,C,درست جواب ہے: 1947۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0781,😈 ٹرک سوالات,E,ایک ٹوکری میں 10 پھل تھے، بچوں نے 6 کھا لیے، ٹوکری میں کتنے پھل بچے؟ (سیٹ 17),6,4,3,5,B,10-6=4 پھل بچے۔,"ٹرک سوالات, آسان"
Q0782,🤯 دماغ کا امتحان,E,5، 7، 9، 11 کے بعد اگلا عدد کیا ہوگا؟,15,13,12,14,B,ہر بار 2 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 11+2 = 13 ہوگا۔,"دماغ کا امتحان, آسان"
Q0783,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر آج پیر ہے تو دو دن بعد کون سا دن ہوگا؟,جمعرات,بدھ,جمعہ,منگل,B,درست جواب ہے: B)بدھ ✓۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0784,⏳ 5 سیکنڈ چیلنج,E,سورج نظام شمسی کا کیا ہے؟,ستارہ,دھوم کے تارا,چاند,سیارہ,A,درست جواب ہے: ستارہ۔,"5 سیکنڈ چیلنج, آسان"
Q0785,👑 صرف ذہین لوگوں کے لیے,E,ایک کمرے میں 7 افراد ہیں، ہر ایک دوسرے سے ایک بار ہاتھ ملائے تو کل کتنے مصافحے ہوں گے؟,24,21,14,28,B,درست جواب ہے: 21۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0786,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,1، 5، 9، 13 کے بعد اگلا عدد کیا ہوگا؟,21,17,16,18,B,ہر بار 4 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 13+4 = 17 ہوگا۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0787,🎭 الفاظ کا جادو,E,"""خوف"" کا مترادف کیا ہے؟",رخ,عدل,ڈر,ظلمت,C,"""خوف"" کا مترادف ""ڈر"" ہے۔","الفاظ کا جادو, آسان"
Q0788,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,کون سا مہینہ ہے جس میں 28 دن ہوتے ہیں؟,صرف فروری,جنوری,تمام مہینے,صرف لیپ سال کا فروری,C,ہر مہینے میں کم از کم 28 دن ضرور ہوتے ہیں۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0789,⏳ 5 سیکنڈ چیلنج,E,''اُردو'' لفظ کا اصل ماخذ کیا ہے؟,ترکی (لشکر/اوردو),عربی,فارسی,سنسکرت,A,درست جواب ہے: ترکی (لشکر/اوردو)۔,"5 سیکنڈ چیلنج, آسان"
Q0790,👑 صرف ذہین لوگوں کے لیے,E,"اردو لفظ ""شوق"" کا متضاد کیا ہے؟",بے رغبتی,ڈر,غصہ,نفرت,A,درست جواب ہے: بے رغبتی ________________۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0791,🎭 الفاظ کا جادو,E,"""جیت"" کا متضاد کیا ہے؟",حرام,ناجائز,ناپاک,ہار,D,"""جیت"" کا متضاد ""ہار"" ہے۔","الفاظ کا جادو, آسان"
Q0792,🎭 الفاظ کا جادو,E,"""عصا"" کا مطلب کیا ہے؟",ذکر یا بیان,لاٹھی,آسمان,صبح کا وقت / جادو,B,"""عصا"" کا مطلب ہے: لاٹھی۔","الفاظ کا جادو, آسان"
Q0793,🎭 الفاظ کا جادو,E,محنت کا مترادف کیا ہے؟,کامیابی,آرام,مشقت,سستی,C,محنت اور مشقت ہم معنی الفاظ ہیں,"الفاظ کا جادو, آسان"
Q0794,🤯 دماغ کا امتحان,E,اگر آج جمعہ ہے تو 8 دن بعد کون سا دن ہوگا؟,جمعہ,پیر,اتوار,ہفتہ,D,جمعہ سے 8 دن آگے شمار کرنے پر دن ہفتہ بنتا ہے۔,"دماغ کا امتحان, آسان"
Q0795,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو ایک بار گزر جائے تو کبھی واپس نہیں آتا؟,دن,وقت,موسم,رات,B,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: وقت۔,"دلچسپ پہیلیاں, آسان"
Q0796,📖 اردو محاورے,E,ناک میں دم کرنا,خوش کرنا,مدد کرنا,خاموش کرنا,بہت تنگ کرنا,D,بار بار پریشان کرنا۔,"اردو محاورے, آسان"
Q0797,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو خود تو چلتی نہیں مگر سب کو چلاتی ہے,گاڑی,گھڑی,سڑک,ہوا,B,گھڑی خود نہیں چلتی مگر وقت کے مطابق سب کو چلاتی ہے۔,"دلچسپ پہیلیاں, آسان"
Q0798,😈 ٹرک سوالات,E,سرخ پتھر کو نیلے سمندر میں پھینک دیں تو وہ کیا بنے گا؟,نیلا,گیلا,چھوٹا,غائب,B,درست جواب ہے: گیلا۔,"ٹرک سوالات, آسان"
Q0799,⏳ 5 سیکنڈ چیلنج,E,دیودار,نیم,A,کیلا,شیشم,B,درست جواب ہے: A۔,"5 سیکنڈ چیلنج, آسان"
Q0800,📖 اردو محاورے,E,"""سکہ جمانا"" کا مطلب کیا ہے؟",پیسے کمانا,سکے جمع کرنا,اپنا اثر و رسوخ قائم کرنا,ہار جانا,C,"""سکہ جمانا"" کا محاورتی مطلب ہے: اپنا اثر و رسوخ قائم کرنا۔","اردو محاورے, آسان"
Q0801,👑 صرف ذہین لوگوں کے لیے,E,قرآن مجید میں کل کتنی سورتیں ہیں؟,99,114,120,100,B,درست جواب ہے: 114۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0802,⏳ 5 سیکنڈ چیلنج,E,انسانی جسم میں وٹامن D کہاں بنتا ہے؟,گردے,جلد,جگر,دل,B,درست جواب ہے: جلد۔,"5 سیکنڈ چیلنج, آسان"
Q0803,⏳ 5 سیکنڈ چیلنج,E,مدد کرنا,چھوڑ دینا,A,لڑائی کرنا,خاموش رہنا,B,درست جواب ہے: A۔,"5 سیکنڈ چیلنج, آسان"
Q0804,🧩 دلچسپ پہیلیاں,E,وہ کون ہے جو سب کچھ دیکھتا ہے مگر اس کی آنکھیں نہیں,کیمرہ,خدا,آئینہ,ریڈار,B,اللہ تعالیٰ ہر چیز دیکھتا ہے۔,"دلچسپ پہیلیاں, آسان"
Q0805,⏳ 5 سیکنڈ چیلنج,E,دل جلانا کا مطلب کیا ہے؟,روشن کرنا,پیار کرنا,خوش کرنا,تنگ کرنا,D,درست جواب ہے: تنگ کرنا۔,"5 سیکنڈ چیلنج, آسان"
Q0806,😈 ٹرک سوالات,E,وہ کون سا جانور ہے جو پانی میں رہ کر بھی پانی نہیں پیتا,ڈولفن,مچھلی,وہیل,کوئی نہیں,D,یہ ایک ٹرک سوال ہے؛ عمومی طور پر ایسا کوئی درست جواب نہیں۔,"ٹرک سوالات, آسان"
Q0807,👑 صرف ذہین لوگوں کے لیے,E,عالمی جنگ اول کب شروع ہوئی؟,1939,1918,1910,1914,D,درست جواب ہے: 1914۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0808,😈 ٹرک سوالات,E,اگر آپ دوڑ میں آخری شخص کو پیچھے چھوڑ دیں تو کیا ہوگا؟,آپ آخری رہیں گے,آپ پہلے نمبر پر آ جائیں گے,آپ دوسرا آخری ہو جائیں گے,ایسا ممکن نہیں، کیونکہ آخری شخص کے پیچھے کوئی نہیں ہوتا,D,درست جواب ہے: ایسا ممکن نہیں، کیونکہ آخری شخص کے پیچھے کوئی نہیں ہوتا۔,"ٹرک سوالات, آسان"
Q0809,⏳ 5 سیکنڈ چیلنج,E,پاکستان کا قومی رنگ کیا ہے؟,سفید,سرخ,نیلا,سبز,D,پاکستان کا قومی رنگ سبز ہے,"5 سیکنڈ چیلنج, آسان"
Q0810,🤯 دماغ کا امتحان,E,36، 73، 35 کا اوسط (average) کیا ہوگا؟,47,48,50,49,B,اوسط = تمام اعداد کا مجموعہ ÷ تعداد = 144/3 = 48۔,"دماغ کا امتحان, آسان"
Q0811,🧩 دلچسپ پہیلیاں,E,وہ کیا ہے جو انسان کو گرا کر بھی سکھاتا ہے؟,سیڑھی,ناکامی,کرسی,پتھر,B,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: ناکامی۔,"دلچسپ پہیلیاں, آسان"
Q0812,🧩 دلچسپ پہیلیاں,E,کون سی چیز جلنے کے ساتھ چھوٹی ہوتی جاتی ہے؟,موم بتی,پتھر,درخت,شیشہ,A,جلنے سے موم پگھلتا ہے اور موم بتی چھوٹی ہوتی جاتی ہے,"دلچسپ پہیلیاں, آسان"
Q0813,📖 اردو محاورے,E,سر پر کفن باندھنا,مرنے کے لیے تیار,جنازہ پڑھنا,کپڑا باندھنا,قبر کھودنا,A,جان کی پرواہ نہ کرنا۔,"اردو محاورے, آسان"
Q0814,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,اگر ایک ہفتے میں 7 دن ہوتے ہیں تو 3 ہفتوں میں کتنے دن ہوں گے؟,18,21,20,24,B,3×7=21 دن۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0815,👑 صرف ذہین لوگوں کے لیے,E,اہرام مصر کس تہذیب کی نشانی ہیں؟,یونانی تہذیب,رومی تہذیب,بابلی تہذیب,قدیم مصری تہذیب,D,درست جواب ہے: قدیم مصری تہذیب۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0816,👑 صرف ذہین لوگوں کے لیے,E,ہوائی جہاز کس نے ایجاد کیا؟,رائٹ برادران,ایڈیسن,گراہم بیل,مارکونی,A,درست جواب ہے: رائٹ برادران۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0817,🤯 دماغ کا امتحان,E,1، 10، 19، 28 کے بعد اگلا عدد کیا ہوگا؟,36,38,46,37,D,ہر بار 9 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 28+9 = 37 ہوگا۔,"دماغ کا امتحان, آسان"
Q0818,👑 صرف ذہین لوگوں کے لیے,E,گلاب کس رنگ کا سب سے عام پھول ہے؟,کالا,سبز,نیلا,سرخ,D,درست جواب ہے: سرخ۔,"صرف ذہین لوگوں کے لیے, آسان"
Q0819,🧠 99٪ لوگ غلط جواب دیتے ہیں,E,11، 13، 15، 17 کے بعد اگلا عدد کیا ہوگا؟,21,20,19,18,C,ہر بار 2 کا اضافہ ہو رہا ہے، لہٰذا اگلا عدد 17+2 = 19 ہوگا۔,"99٪ لوگ غلط جواب دیتے ہیں, آسان"
Q0820,🤯 دماغ کا امتحان,E,اگر آج جمعرات ہے تو 19 دن بعد کون سا دن ہوگا؟,منگل,بدھ,پیر,جمعرات,A,جمعرات سے 19 دن آگے شمار کرنے پر دن منگل بنتا ہے۔,"دماغ کا امتحان, آسان"
Q0821,🤯 دماغ کا امتحان,E,7 دن ایک ہفتہ ہوتے ہیں۔ 4 ہفتوں میں کتنے دن ہوتے ہیں,24,30,21,28,D,4×7=28 دن۔,"دماغ کا امتحان, آسان"
Q0822,📖 اردو محاورے,E,بیٹا باپ سے سوا,کم,اولاد والدین سے آگے نکل جانا,باپ بیٹا,زیادہ,B,اولاد کا والدین سے زیادہ کامیاب یا عقلمند ہو جانا۔,"اردو محاورے, آسان"
Q0823,📖 اردو محاورے,E,راز کی بات کا مطلب کیا ہے؟,جھوٹی بات,عام بات,کھلی بات,چھپی ہوئی بات,D,ایسی بات جو دوسروں سے چھپائی جائے,"اردو محاورے, آسان"
